Symbol,Date,Open,High,Low,Close,Volume
ADDA.IDX,16-Feb-2017,24,24,-51,-46,0
ADDD.IDX,16-Feb-2017,2,2,-7,-4,0
ADDE.IDX,16-Feb-2017,415,436,-273,-62,0
ADDN.IDX,16-Feb-2017,436,436,-780,-314,0
ADDQ.IDX,16-Feb-2017,132,168,-874,-357,0
ADDS.IDX,16-Feb-2017,103,196,-62,196,0
ADDT.IDX,16-Feb-2017,592,592,-1667,-717,0
ADDV.IDX,16-Feb-2017,58,78,39,78,0
ADDX.IDX,16-Feb-2017,161,274,-9,274,0
ADR.IDX,16-Feb-2017,784.05,785.25,782.84,784.11,0
ADRA.IDX,16-Feb-2017,1.38,1.38,0.61,0.64,0
ADRD.IDX,16-Feb-2017,1.66,1.66,0.53,0.76,0
ADRE.IDX,16-Feb-2017,2.15,2.15,0.69,0.92,0
ADRN.IDX,16-Feb-2017,1.6,1.6,0.43,0.72,0
ADRQ.IDX,16-Feb-2017,1.15,1.18,0.44,0.73,0
ADRS.IDX,16-Feb-2017,1.27,1.34,0.91,1.27,0
ADRT.IDX,16-Feb-2017,1.35,1.35,0.45,0.72,0
ADRV.IDX,16-Feb-2017,1.35,1.35,1.11,1.2,0
ADRX.IDX,16-Feb-2017,1.29,1.33,0.99,1.24,0
ADVA.IDX,16-Feb-2017,86,100,82,85,48685600
ADVD.IDX,16-Feb-2017,5,15,5,13,1437200
ADVE.IDX,16-Feb-2017,774,817,614,799,677225000
ADVN.IDX,16-Feb-2017,1152,1152,609,842,1214856000
ADVQ.IDX,16-Feb-2017,1009,1079,707,992,768568900
ADVS.IDX,16-Feb-2017,482,916,482,916,172398400
ADVT.IDX,16-Feb-2017,2247,2301,1411,1919,2032110000
ADVV.IDX,16-Feb-2017,223,456,223,456,142844400
ADVX.IDX,16-Feb-2017,705,1372,705,1372,315242800
AEX.IDX,16-Feb-2017,494.82,495.84,492.93,493.98,0
AMZ.IDX,16-Feb-2017,339.16,339.2,334.6,334.77,0
ASHD.IDX,16-Feb-2017,74,983,74,924,0
ASHF.IDX,16-Feb-2017,10,394,-276,-133,0
ASHR.IDX,16-Feb-2017,1.13,1.95,0.71,0.85,0
ASHU.IDX,16-Feb-2017,84,824,84,791,0
ATX.IDX,16-Feb-2017,2807.62,2819.48,2795.83,2811.35,0
AVDA.IDX,16-Feb-2017,220.62,938.49,-2336.11,-1989.9,0
AVDD.IDX,16-Feb-2017,0.52,108.39,-55.22,94.44,0
AVDE.IDX,16-Feb-2017,2081.89,6301.73,-7264.75,6222.14,0
AVDS.IDX,16-Feb-2017,79.64,357.08,-5361.84,-4418.92,0
AVDV.IDX,16-Feb-2017,707.59,6441.54,707.59,6440.13,0
AVDX.IDX,16-Feb-2017,787.23,2021.21,-773.06,2021.21,0
AVLD.IDX,16-Feb-2017,0.36,613.4,0.36,587.14,0
AVLF.IDX,16-Feb-2017,1.61,60.86,-145.91,43.72,0
AVLR.IDX,16-Feb-2017,5.38,5.38,0.76,1.07,0
AVLU.IDX,16-Feb-2017,1.98,632.3,1.98,630.87,0
AVRA.IDX,16-Feb-2017,3.76,3.76,0.65,0.7,0
AVRD.IDX,16-Feb-2017,1.33,5.68,0.1,2.91,0
AVRE.IDX,16-Feb-2017,2.78,3.04,0.79,1.1,0
AVRN.IDX,16-Feb-2017,0.95,1.07,0.4,0.54,0
AVRQ.IDX,16-Feb-2017,1.73,2.11,0.59,0.76,0
AVRS.IDX,16-Feb-2017,1.08,1.22,0.66,0.79,0
AVRT.IDX,16-Feb-2017,1.24,1.4,0.48,0.61,0
AVRV.IDX,16-Feb-2017,1.74,2.14,1.5,1.82,0
AVRX.IDX,16-Feb-2017,1.41,1.41,0.96,1.06,0
AVVA.IDX,16-Feb-2017,3,49.86,3,48.68,0
AVVD.IDX,16-Feb-2017,0.02,1.43,0.02,1.43,0
AVVE.IDX,16-Feb-2017,32.48,677.22,32.48,677.22,0
AVVN.IDX,16-Feb-2017,50.55,1214.85,50.55,1214.85,0
AVVQ.IDX,16-Feb-2017,46.64,768.56,46.64,768.56,0
AVVS.IDX,16-Feb-2017,10.44,172.39,10.44,172.39,0
AVVT.IDX,16-Feb-2017,100.2,2032.11,100.2,2032.11,0
AVVV.IDX,16-Feb-2017,16.61,142.84,16.61,142.84,0
AVVX.IDX,16-Feb-2017,27.06,315.24,27.06,315.24,0
BANK.IDX,16-Feb-2017,3909.9,3922.02,3887.75,3920.17,0
BCMA.IDX,16-Feb-2017,2009,2051,1180,1693,0
BCMC.IDX,16-Feb-2017,100.05,100.12,99.93,100.12,0
BCMD.IDX,16-Feb-2017,1478,2761,1478,2306,0
BCME.IDX,16-Feb-2017,391,674,391,674,0
BCMF.IDX,16-Feb-2017,334,587,334,526,0
BCMG.IDX,16-Feb-2017,91,119,91,94,0
BCMM.IDX,16-Feb-2017,100.08,100.13,99.41,99.73,0
BCMU.IDX,16-Feb-2017,317,317,130,174,0
BDMA.IDX,16-Feb-2017,2326,2512,2326,2512,0
BDMC.IDX,16-Feb-2017,100.28,100.28,100.23,100.24,0
BDMD.IDX,16-Feb-2017,1327,1468,1327,1468,0
BDME.IDX,16-Feb-2017,478,736,478,736,0
BDMF.IDX,16-Feb-2017,280,438,280,438,0
BDMG.IDX,16-Feb-2017,57,118,57,118,0
BDMM.IDX,16-Feb-2017,100.5,100.5,100.45,100.45,0
BDMU.IDX,16-Feb-2017,151,193,151,193,0
BFMA.IDX,16-Feb-2017,2758,2991,2758,2991,0
BFMC.IDX,16-Feb-2017,100.28,100.28,100.23,100.24,0
BFMD.IDX,16-Feb-2017,911,1018,911,1018,0
BFME.IDX,16-Feb-2017,477,726,477,726,0
BFMF.IDX,16-Feb-2017,285,465,285,465,0
BFMG.IDX,16-Feb-2017,51,100,51,100,0
BFMM.IDX,16-Feb-2017,101.1,101.1,101.04,101.05,0
BFMU.IDX,16-Feb-2017,135,164,135,164,0
BFX.IDX,16-Feb-2017,3619.78,3628.05,3614.08,3619.27,0
BGMA.IDX,16-Feb-2017,950,1061,950,1061,0
BGMC.IDX,16-Feb-2017,100.11,100.11,100.04,100.05,0
BGMD.IDX,16-Feb-2017,2716,2936,2716,2936,0
BGME.IDX,16-Feb-2017,374,576,374,576,0
BGMF.IDX,16-Feb-2017,386,613,386,613,0
BGMG.IDX,16-Feb-2017,49,97,49,97,0
BGMM.IDX,16-Feb-2017,99.3,99.32,99.3,99.32,0
BGMU.IDX,16-Feb-2017,137,175,137,175,0
BJE.IDX,16-Feb-2017,172.99,174.5,169.78,171.79,0
BKNIF.IDX,16-Feb-2017,20243.25,20295.55,20088.2,20243.7,0
BKX.IDX,16-Feb-2017,96.65,96.84,95.79,96.46,0
BSESN.IDX,16-Feb-2017,28223.85,28327.84,28146.19,28301.27,0
BTK.IDX,16-Feb-2017,3469.56,3489.92,3395.52,3435.8,0
BTS.IDX,16-Feb-2017,3201.68,3201.68,3201.68,3201.68,0
BVSP.IDX,16-Feb-2017,67978.7734,68455.8516,67661.4219,67814.2422,0
BWH.IDX,16-Feb-2017,173.1,176.34,169.59,170.51,0
BXD.IDX,16-Feb-2017,289.57,289.71,289.04,289.55,0
BXM.IDX,16-Feb-2017,1253.23,1253.88,1252.89,1253.52,0
BXN.IDX,16-Feb-2017,516.68,516.73,516.2,516.66,0
BXR.IDX,16-Feb-2017,241.81,241.93,241.22,241.69,0
BXY.IDX,16-Feb-2017,1736.23,1737.28,1735.31,1736.62,0
BZJ.IDX,16-Feb-2017,61.22,61.35,60.5,60.55,0
CAC40.IDX,16-Feb-2017,4925.54,4928.25,4890.48,4899.46,0
CASE.IDX,16-Feb-2017,12448.4,12666.8,12448.4,12652,167811000
CELS.IDX,16-Feb-2017,219.25,220.17,217.53,218.31,0
CEX.IDX,16-Feb-2017,536.86,539.98,535.38,537.08,0
CIV.IDX,16-Feb-2017,18.86,19.2,18.5,18.79,0
CKG.IDX,16-Feb-2017,630.98,631.74,626.32,630.98,0
COMP.IDX,16-Feb-2017,5823.01,5835.15,5796.71,5814.9,0
CPH.IDX,16-Feb-2017,249.69,249.69,249.69,249.69,0
CPR.IDX,16-Feb-2017,2.74,2.76,2.69,2.72,87012
CVK.IDX,16-Feb-2017,572.65,573.33,567.5,570.75,0
CYM.IDX,16-Feb-2017,20.77,20.82,20.73,20.76,0
CZH.IDX,16-Feb-2017,278.51,278.95,277.15,277.53,0
DAX.IDX,16-Feb-2017,11778.99,11814.7,11728.38,11757.24,0
DCFD.IDX,16-Feb-2017,70.76,81.53,56.92,81.53,0
